order_id,user_id,product_id,order_date,quantity,day_of_week,week_of_year,month,year
258,163,32,2024-11-08,4,4,45,11,2024
259,3,141,2025-02-26,4,2,9,2,2025
260,430,45,2024-10-16,3,2,42,10,2024
261,472,15,2024-10-19,3,5,42,10,2024
262,401,167,2024-04-02,1,1,14,4,2024
263,383,100,2025-05-26,2,0,22,5,2025
264,267,160,2025-06-27,1,4,26,6,2025
265,253,164,2024-10-13,1,6,41,10,2024
266,44,42,2025-04-29,2,1,18,4,2025
267,159,124,2025-10-29,1,2,44,10,2025
268,350,25,2024-04-23,2,1,17,4,2024
269,491,88,2024-09-10,1,1,37,9,2024
270,172,35,2024-12-31,1,1,1,12,2024
271,185,83,2024-11-29,3,4,48,11,2024
272,474,130,2025-10-15,1,2,42,10,2025
273,459,186,2025-03-09,2,6,10,3,2025
274,161,11,2025-02-20,1,3,8,2,2025
275,219,150,2024-07-09,2,1,28,7,2024
276,142,174,2024-09-16,3,0,38,9,2024
277,485,60,2025-01-28,4,1,5,1,2025
278,168,130,2024-03-18,3,0,12,3,2024
279,397,155,2025-07-03,1,3,27,7,2025
280,353,35,2024-09-28,2,5,39,9,2024
281,414,41,2026-01-02,3,4,1,1,2026
282,417,189,2024-05-04,3,5,18,5,2024
283,281,5,2024-10-24,4,3,43,10,2024
284,197,105,2024-09-23,1,0,39,9,2024
285,149,191,2025-05-11,3,6,19,5,2025
286,475,168,2025-08-02,1,5,31,8,2025
287,384,85,2026-01-14,1,2,3,1,2026
288,279,76,2025-11-24,2,0,48,11,2025
289,250,130,2025-06-01,4,6,22,6,2025
290,391,73,2025-08-09,3,5,32,8,2025
291,249,52,2024-06-02,4,6,22,6,2024
292,247,131,2025-01-25,3,5,4,1,2025
293,471,177,2026-02-12,2,3,7,2,2026
294,341,90,2025-05-23,2,4,21,5,2025
295,166,49,2025-03-08,2,5,10,3,2025
296,150,50,2025-12-03,2,2,49,12,2025
297,385,51,2024-12-07,3,5,49,12,2024
298,469,48,2024-06-24,4,0,26,6,2024
299,138,73,2024-11-24,2,6,47,11,2024
300,266,37,2025-05-12,3,0,20,5,2025
301,112,159,2025-05-30,1,4,22,5,2025
302,338,71,2024-07-07,3,6,27,7,2024
303,72,187,2025-08-07,4,3,32,8,2025
304,198,34,2025-12-27,1,5,52,12,2025
305,273,86,2024-09-19,2,3,38,9,2024
306,429,33,2025-02-22,3,5,8,2,2025
307,297,8,2025-12-04,4,3,49,12,2025
308,382,163,2025-04-01,4,1,14,4,2025
309,207,115,2025-10-21,4,1,43,10,2025
310,129,7,2025-06-25,3,2,26,6,2025
311,256,80,2025-08-24,2,6,34,8,2025
312,436,136,2024-11-13,2,2,46,11,2024
313,475,43,2025-09-24,3,2,39,9,2025
314,435,77,2025-02-12,1,2,7,2,2025
315,359,188,2026-01-04,2,6,1,1,2026
316,336,21,2024-05-19,2,6,20,5,2024
317,139,162,2024-07-20,1,5,29,7,2024
318,417,56,2024-06-27,4,3,26,6,2024
319,335,177,2025-05-28,3,2,22,5,2025
320,423,177,2024-06-12,4,2,24,6,2024
321,22,55,2024-05-08,2,2,19,5,2024
322,475,53,2024-07-18,3,3,29,7,2024
323,342,195,2025-05-26,4,0,22,5,2025
324,253,155,2024-12-19,4,3,51,12,2024
325,169,176,2025-09-07,4,6,36,9,2025
326,209,191,2026-01-11,1,6,2,1,2026
327,427,19,2025-02-20,4,3,8,2,2025
328,210,166,2025-11-12,3,2,46,11,2025
329,334,159,2024-07-21,4,6,29,7,2024
330,343,128,2025-12-22,2,0,52,12,2025
331,303,14,2024-12-12,3,3,50,12,2024
332,439,26,2025-05-27,2,1,22,5,2025
333,156,149,2025-06-06,2,4,23,6,2025
334,397,150,2025-07-01,4,1,27,7,2025
335,386,55,2026-03-04,1,2,10,3,2026
336,79,169,2025-01-23,4,3,4,1,2025
337,472,100,2025-03-13,3,3,11,3,2025
338,362,142,2024-05-29,2,2,22,5,2024
339,422,53,2026-02-24,2,1,9,2,2026
340,74,110,2026-01-31,1,5,5,1,2026
341,188,94,2026-01-05,3,0,2,1,2026
342,445,3,2025-02-19,4,2,8,2,2025
343,390,144,2025-09-18,1,3,38,9,2025
344,140,175,2024-03-10,4,6,10,3,2024
345,115,125,2026-03-07,4,5,10,3,2026
346,366,121,2024-07-29,2,0,31,7,2024
347,341,182,2024-06-01,2,5,22,6,2024
348,222,129,2025-10-08,4,2,41,10,2025
349,148,169,2026-01-01,3,3,1,1,2026
350,220,166,2024-08-08,1,3,32,8,2024
351,200,113,2024-03-12,4,1,11,3,2024
352,248,30,2025-02-01,2,5,5,2,2025
353,56,56,2024-05-10,2,4,19,5,2024
354,188,15,2024-03-19,2,1,12,3,2024
355,249,151,2025-06-06,1,4,23,6,2025
356,361,9,2024-05-08,1,2,19,5,2024
357,181,1,2024-05-05,1,6,18,5,2024
358,49,181,2025-08-28,4,3,35,8,2025
359,459,131,2026-03-05,2,3,10,3,2026
360,201,52,2025-05-26,3,0,22,5,2025
361,352,147,2025-01-29,4,2,5,1,2025
362,437,122,2025-04-18,2,4,16,4,2025
363,460,134,2025-05-01,2,3,18,5,2025
364,262,1,2024-12-29,4,6,52,12,2024
365,57,52,2024-06-15,2,5,24,6,2024
366,53,108,2025-01-18,2,5,3,1,2025
367,73,151,2026-02-24,3,1,9,2,2026
368,269,19,2026-02-01,2,6,5,2,2026
369,437,43,2025-04-14,1,0,16,4,2025
370,388,188,2025-03-19,4,2,12,3,2025
371,358,168,2024-10-15,2,1,42,10,2024
372,239,166,2024-06-12,3,2,24,6,2024
373,407,46,2025-06-23,1,0,26,6,2025
374,85,176,2025-03-08,2,5,10,3,2025
375,446,117,2024-10-15,2,1,42,10,2024
376,146,47,2024-07-31,3,2,31,7,2024
377,318,88,2025-05-16,3,4,20,5,2025
378,458,198,2026-01-14,4,2,3,1,2026
379,24,189,2024-10-10,1,3,41,10,2024
380,160,126,2025-12-21,4,6,51,12,2025
381,303,95,2025-05-18,2,6,20,5,2025
382,430,36,2026-02-07,4,5,6,2,2026
383,13,149,2025-07-26,1,5,30,7,2025
384,60,80,2024-08-27,4,1,35,8,2024
385,9,143,2024-07-13,2,5,28,7,2024
386,84,17,2026-01-10,2,5,2,1,2026
387,248,79,2025-08-24,1,6,34,8,2025
388,489,122,2025-08-02,1,5,31,8,2025
389,200,29,2024-11-28,1,3,48,11,2024
390,46,20,2024-07-23,1,1,30,7,2024
391,122,55,2026-03-10,1,1,11,3,2026
392,60,47,2024-03-16,3,5,11,3,2024
393,480,70,2025-03-16,1,6,11,3,2025
394,252,119,2025-11-15,3,5,46,11,2025
395,91,43,2025-08-10,4,6,32,8,2025
396,279,77,2026-01-05,2,0,2,1,2026
397,190,146,2024-09-26,3,3,39,9,2024
398,247,41,2025-03-22,3,5,12,3,2025
399,336,49,2026-02-13,2,4,7,2,2026
400,427,111,2024-07-27,4,5,30,7,2024
401,438,159,2026-02-08,3,6,6,2,2026
402,194,5,2024-05-24,3,4,21,5,2024
403,468,193,2025-05-05,2,0,19,5,2025
404,283,153,2026-01-26,4,0,5,1,2026
405,476,9,2024-11-10,1,6,45,11,2024
406,466,107,2024-10-30,2,2,44,10,2024
407,363,191,2024-09-21,4,5,38,9,2024
408,341,23,2024-04-24,3,2,17,4,2024
409,229,21,2024-06-30,1,6,26,6,2024
410,318,9,2025-07-31,3,3,31,7,2025
411,456,152,2024-06-20,2,3,25,6,2024
412,308,168,2025-10-11,1,5,41,10,2025
413,4,22,2024-05-13,3,0,20,5,2024
414,304,53,2025-08-13,1,2,33,8,2025
415,191,195,2025-06-10,1,1,24,6,2025
416,391,144,2025-06-08,3,6,23,6,2025
417,109,20,2025-12-31,4,2,1,12,2025
418,361,126,2025-12-03,4,2,49,12,2025
419,388,116,2026-03-10,4,1,11,3,2026
420,267,63,2025-03-27,2,3,13,3,2025
421,316,38,2025-02-23,4,6,8,2,2025
422,307,82,2024-12-12,4,3,50,12,2024
423,356,119,2024-03-31,3,6,13,3,2024
424,211,184,2025-09-13,4,5,37,9,2025
425,223,199,2025-02-24,4,0,9,2,2025
426,84,195,2026-01-22,1,3,4,1,2026
427,453,118,2024-12-08,4,6,49,12,2024
428,102,94,2025-08-19,1,1,34,8,2025
429,116,111,2024-07-04,4,3,27,7,2024
430,401,64,2025-05-04,4,6,18,5,2025
431,395,135,2025-02-14,4,4,7,2,2025
432,97,84,2025-09-18,4,3,38,9,2025
433,190,154,2026-02-21,1,5,8,2,2026
434,90,184,2024-05-23,4,3,21,5,2024
435,261,12,2025-09-17,3,2,38,9,2025
436,47,142,2026-03-05,1,3,10,3,2026
437,160,161,2025-06-09,3,0,24,6,2025
438,346,182,2024-06-17,2,0,25,6,2024
439,493,176,2025-02-01,3,5,5,2,2025
440,105,121,2024-08-16,1,4,33,8,2024
441,159,31,2025-05-02,4,4,18,5,2025
442,7,7,2024-08-29,3,3,35,8,2024
443,130,185,2026-02-02,1,0,6,2,2026
444,411,29,2025-07-03,3,3,27,7,2025
445,268,10,2025-08-15,4,4,33,8,2025
446,178,79,2025-09-08,1,0,37,9,2025
447,267,101,2025-01-06,4,0,2,1,2025
448,82,182,2025-03-19,1,2,12,3,2025
449,49,32,2025-09-29,3,0,40,9,2025
450,93,3,2025-07-27,2,6,30,7,2025
451,130,53,2024-06-21,1,4,25,6,2024
452,484,102,2025-08-21,2,3,34,8,2025
453,164,194,2025-02-18,1,1,8,2,2025
454,127,45,2026-02-08,2,6,6,2,2026
455,256,123,2024-06-21,3,4,25,6,2024
456,190,195,2026-01-31,4,5,5,1,2026
457,131,9,2025-12-11,2,3,50,12,2025
458,378,186,2024-11-18,4,0,47,11,2024
459,376,46,2025-03-26,2,2,13,3,2025
460,274,36,2025-01-11,1,5,2,1,2025
461,411,128,2025-04-19,4,5,16,4,2025
462,54,61,2024-08-02,3,4,31,8,2024
463,472,94,2025-06-21,1,5,25,6,2025
464,383,56,2025-09-06,4,5,36,9,2025
465,498,93,2024-04-15,2,0,16,4,2024
466,427,82,2025-10-23,4,3,43,10,2025
467,471,26,2025-01-31,3,4,5,1,2025
468,106,183,2024-08-11,2,6,32,8,2024
469,186,48,2024-03-16,4,5,11,3,2024
470,263,49,2024-12-17,1,1,51,12,2024
471,11,75,2025-05-08,4,3,19,5,2025
472,142,33,2025-04-03,1,3,14,4,2025
473,335,188,2025-02-03,2,0,6,2,2025
474,155,137,2026-01-08,1,3,2,1,2026
475,336,79,2024-05-16,4,3,20,5,2024
476,219,163,2024-08-13,3,1,33,8,2024
477,347,127,2024-09-04,2,2,36,9,2024
478,396,169,2024-04-01,4,0,14,4,2024
479,283,43,2025-08-12,2,1,33,8,2025
480,416,70,2024-11-17,3,6,46,11,2024
481,356,183,2026-02-19,1,3,8,2,2026
482,306,119,2024-12-30,1,0,1,12,2024
483,276,144,2025-03-05,3,2,10,3,2025
484,108,163,2026-01-04,1,6,1,1,2026
485,106,60,2025-10-28,4,1,44,10,2025
486,440,128,2025-06-01,3,6,22,6,2025
487,415,13,2025-07-13,3,6,28,7,2025
488,357,36,2024-05-24,3,4,21,5,2024
489,151,6,2025-10-22,2,2,43,10,2025
490,326,49,2025-05-23,4,4,21,5,2025
491,158,198,2025-03-23,3,6,12,3,2025
492,176,60,2025-11-13,2,3,46,11,2025
493,96,123,2025-08-29,4,4,35,8,2025
494,423,44,2024-07-23,3,1,30,7,2024
495,493,28,2025-04-21,3,0,17,4,2025
496,495,188,2024-12-16,2,0,51,12,2024
497,381,13,2024-07-04,4,3,27,7,2024
498,54,69,2025-12-15,1,0,51,12,2025
499,61,166,2025-04-11,1,4,15,4,2025
500,77,109,2025-08-23,1,5,34,8,2025
501,480,30,2025-11-07,2,4,45,11,2025
502,315,164,2025-07-28,2,0,31,7,2025
503,400,93,2024-12-07,3,5,49,12,2024
504,131,199,2026-02-25,4,2,9,2,2026
505,337,10,2025-04-11,1,4,15,4,2025
506,250,71,2025-02-11,1,1,7,2,2025
507,216,91,2025-10-30,3,3,44,10,2025
508,320,72,2025-12-23,3,1,52,12,2025
509,422,30,2025-08-05,3,1,32,8,2025
510,339,31,2024-10-05,2,5,40,10,2024
511,179,154,2024-05-17,1,4,20,5,2024
512,433,199,2024-04-14,2,6,15,4,2024
513,336,34,2024-04-11,2,3,15,4,2024
514,219,192,2025-01-16,3,3,3,1,2025
515,218,118,2024-05-06,1,0,19,5,2024
516,241,160,2025-05-05,1,0,19,5,2025
517,23,137,2026-02-01,2,6,5,2,2026
518,35,132,2025-03-27,1,3,13,3,2025
519,57,112,2024-06-08,2,5,23,6,2024
520,465,56,2025-09-16,2,1,38,9,2025
521,346,16,2025-09-06,2,5,36,9,2025
522,193,157,2025-09-26,4,4,39,9,2025
523,37,186,2025-01-28,4,1,5,1,2025
524,269,132,2025-04-06,4,6,14,4,2025
525,294,138,2025-12-08,4,0,50,12,2025
526,34,38,2024-10-11,4,4,41,10,2024
527,187,12,2026-01-14,3,2,3,1,2026
528,140,9,2024-05-13,4,0,20,5,2024
529,115,2,2025-02-13,2,3,7,2,2025
530,95,176,2026-02-18,1,2,8,2,2026
531,64,68,2024-03-21,2,3,12,3,2024
532,67,106,2024-07-25,2,3,30,7,2024
533,498,164,2026-01-11,2,6,2,1,2026
534,353,37,2024-09-29,1,6,39,9,2024
535,156,106,2025-08-06,1,2,32,8,2025
536,472,54,2025-05-24,1,5,21,5,2025
537,430,167,2024-07-26,1,4,30,7,2024
538,140,44,2026-03-07,2,5,10,3,2026
539,57,97,2024-05-22,2,2,21,5,2024
540,340,117,2026-02-16,3,0,8,2,2026
541,294,190,2025-08-14,3,3,33,8,2025
542,314,94,2026-01-08,4,3,2,1,2026
543,169,11,2024-05-25,3,5,21,5,2024
544,57,3,2024-10-19,3,5,42,10,2024
545,369,141,2025-02-08,4,5,6,2,2025
546,78,2,2024-08-19,2,0,34,8,2024
547,196,183,2026-03-01,3,6,9,3,2026
548,208,54,2024-12-07,4,5,49,12,2024
549,156,108,2025-04-01,4,1,14,4,2025
550,248,135,2025-03-30,4,6,13,3,2025
551,160,184,2024-10-26,1,5,43,10,2024
552,450,25,2024-12-01,2,6,48,12,2024
553,483,103,2025-05-04,1,6,18,5,2025
554,316,96,2025-12-08,1,0,50,12,2025
555,164,98,2024-03-27,1,2,13,3,2024
556,327,110,2026-02-28,2,5,9,2,2026
557,51,31,2025-01-14,3,1,3,1,2025
558,407,30,2024-10-04,4,4,40,10,2024
559,36,199,2025-06-19,2,3,25,6,2025
560,126,77,2024-12-28,1,5,52,12,2024
561,403,85,2025-04-24,1,3,17,4,2025
562,342,171,2024-12-18,4,2,51,12,2024
563,125,45,2024-05-31,2,4,22,5,2024
564,65,196,2025-01-15,2,2,3,1,2025
565,144,91,2024-06-10,4,0,24,6,2024
566,127,86,2024-09-02,1,0,36,9,2024
567,416,36,2025-08-15,4,4,33,8,2025
568,374,35,2024-04-15,2,0,16,4,2024
569,287,66,2024-11-25,3,0,48,11,2024
570,137,86,2026-01-19,1,0,4,1,2026
571,194,154,2024-07-26,2,4,30,7,2024
572,82,24,2024-07-29,4,0,31,7,2024
573,179,51,2026-03-07,1,5,10,3,2026
574,192,130,2024-10-20,2,6,42,10,2024
575,294,161,2024-03-22,3,4,12,3,2024
576,60,189,2025-05-12,3,0,20,5,2025
577,300,44,2025-12-02,4,1,49,12,2025
578,292,158,2025-05-15,1,3,20,5,2025
579,22,131,2024-08-07,1,2,32,8,2024
580,186,181,2025-03-28,4,4,13,3,2025
